name,price,rating,url,source
WINNI CELEBRATE RELATIONS Premium Belgian Imported 24 Pcs Truffles Chocolate Gift Pack | Chocolates Box Truffles,1400.0,,https://www.flipkart.com/winni-celebrate-relations-premium-belgian-imported-24-pcs-truffles-chocolate-gift-pack-chocolates-box/p/itm79e5f150800c3,flipkart
WINNI CELEBRATE RELATIONS Luxurious 24 Pcs Chocolate Gift Pack | Handcrafted Chocolates Box Gift Hamper Truffles,1400.0,,https://www.flipkart.com/winni-celebrate-relations-luxurious-24-pcs-chocolate-gift-pack-handcrafted-chocolates-box-hamper-truffles/p/itm79f5b19d19b96,flipkart
"CHOCOINDIANART No. 1 Happy Birthday, 12pcs Delicious Chocolate Gift Box 12, Truffles",385.0,,https://www.flipkart.com/chocoindianart-no-1-happy-birthday-12pcs-delicious-chocolate-gift-box-12-truffles/p/itm24bea119eb705,flipkart
Expelite You Are My World Truffle Chocolate Box Bars,367.0,,https://www.flipkart.com/expelite-you-my-world-truffle-chocolate-box-bars/p/itmfeyut7phk3z6k,flipkart
"CHOCOINDIANART Beautiful Happy Valentine's Day, 12pcs Chocolate Gift Box, Truffles",377.0,,https://www.flipkart.com/chocoindianart-beautiful-happy-valentine-s-day-12pcs-chocolate-gift-box-truffles/p/itm0b72142bd8d4e,flipkart
Expelite Togetherness years pink cover chocolate box Bars,432.0,,https://www.flipkart.com/expelite-togetherness-years-pink-cover-chocolate-box-bars/p/itmfg3g5tkgfbyew,flipkart
WINNI CELEBRATE RELATIONS Super Premium 24 Pcs Chocolates Gift Box | Belgian Imported Chocolate Hamper Truffles,1414.0,,https://www.flipkart.com/winni-celebrate-relations-super-premium-24-pcs-chocolates-gift-box-belgian-imported-chocolate-hamper-truffles/p/itmd011aab3fcfe3,flipkart
"CHOCOINDIANART Birthday, 12pcs Delicious Chocolate Gift Box, Truffles",411.0,,https://www.flipkart.com/chocoindianart-birthday-12pcs-delicious-chocolate-gift-box-truffles/p/itm10e42af96134d,flipkart
"CHOCOINDIANART Decorative Happy Birthday, 12pcs Chocolate Gift Box, Truffles",411.0,,https://www.flipkart.com/chocoindianart-decorative-happy-birthday-12pcs-chocolate-gift-box-truffles/p/itmffwkcgekjxjkq,flipkart
Expelite Love You Bae Chocolate Gift Box For Her 18pc Love You Chocolate gift Box Bars,355.0,,https://www.flipkart.com/expelite-love-you-bae-chocolate-gift-box-her-18pc-bars/p/itm508a9bcfc2957,flipkart
"CHOCOINDIANART Amazing Happy Birthday, 12pcs Chocolate Gift Box, Truffles",452.0,,https://www.flipkart.com/chocoindianart-amazing-happy-birthday-12pcs-chocolate-gift-box-truffles/p/itm7c3f038736e60,flipkart
"CHOCOINDIANART Amazing - Happy Valentine's Day, 12pcs Chocolate Gift Box, Truffles",411.0,,https://www.flipkart.com/chocoindianart-amazing-happy-valentine-s-day-12pcs-chocolate-gift-box-truffles/p/itm81019984553c1,flipkart
Dharmasut Vanilla + Butterscotch + Chocolate + Strawberry Instant Ice cream Mix Powder 400 g,299.0,,https://www.flipkart.com/dharmasut-vanilla-butterscotch-chocolate-strawberry-instant-ice-cream-mix-powder-400-g/p/itm275f332208661,flipkart
"CHOCOINDIANART Sweet Happy Birthday, 12pcs Delicious Chocolate Gift Box, Truffles",416.0,,https://www.flipkart.com/chocoindianart-sweet-happy-birthday-12pcs-delicious-chocolate-gift-box-truffles/p/itmfea8b04176456,flipkart
"CHOCOINDIANART Sweet Happy Birthday, 12pcs Delicious Chocolate Gift Box 25, Truffles",416.0,,https://www.flipkart.com/chocoindianart-sweet-happy-birthday-12pcs-delicious-chocolate-gift-box-25-truffles/p/itmd7e245c17d027,flipkart
"CHOCOINDIANART Wonderful Thank you, 12pcs Delicious Chocolate Gift Box Truffles",430.0,,https://www.flipkart.com/chocoindianart-wonderful-thank-you-12pcs-delicious-chocolate-gift-box-truffles/p/itm293b61f88c3fc,flipkart
"CHOCOINDIANART Very Sweet Happy Birthday, 12pcs Delicious Chocolate Gift Box 53, Truffles",417.0,,https://www.flipkart.com/chocoindianart-very-sweet-happy-birthday-12pcs-delicious-chocolate-gift-box-53-truffles/p/itm47455f57946e5,flipkart
The Gift Studio Chocolate Bliss Hamper Combo,2698.0,,https://www.flipkart.com/gift-studio-chocolate-bliss-hamper-combo/p/itm35b3a82809062,flipkart
CHOCOINDIANART Pleasing Happy Birthday 06pcs Delicious Chocolate Gift | Truffles,382.0,,https://www.flipkart.com/chocoindianart-pleasing-happy-birthday-06pcs-delicious-chocolate-gift-truffles/p/itm9296c1643c2dc,flipkart
CHOCOINDIANART Very Nice Thank you-12pcs Delicious Chocolate Gift Box Truffles,740.0,,https://www.flipkart.com/chocoindianart-very-nice-thank-you-12pcs-delicious-chocolate-gift-box-truffles/p/itme1df0557d6edb,flipkart
CHOCOINDIANART Very Very Special Happy BirthDay 12 Chocolate GiftS Box | Truffles,673.0,,https://www.flipkart.com/chocoindianart-very-special-happy-birthday-12-chocolate-gifts-box-truffles/p/itm0dd2f43693b86,flipkart
CHOCOINDIANART Lovely Happy Valentine's Day-12pcs Chocolate Gift Box || Truffles,728.0,,https://www.flipkart.com/chocoindianart-lovely-happy-valentine-s-day-12pcs-chocolate-gift-box-truffles/p/itm7bb7960addbf9,flipkart
CHOCOINDIANART Amazing Happy Birthday-12pcs Delicious Chocolate Gift Box 57 || Truffles,728.0,,https://www.flipkart.com/chocoindianart-amazing-happy-birthday-12pcs-delicious-chocolate-gift-box-57-truffles/p/itmb45635c7ca620,flipkart
Pure Temptation Chocoblast - Joy Chocolate Filled Mini Cones - Birthday Gift Box | Cone Bites,264.0,,https://www.flipkart.com/pure-temptation-chocoblast-joy-chocolate-filled-mini-cones-birthday-gift-box-cone-bites/p/itm64d0c9b604b6e,flipkart
"CHOCOINDIANART Very Special, Happy BirthDay, 12 Chocolate GiftS Box, Truffles",394.0,,https://www.flipkart.com/chocoindianart-very-special-happy-birthday-12-chocolate-gifts-box-truffles/p/itme26e4952b4601,flipkart
"CHOCOINDIANART Very Nice Happy Valentine's Day, 12pcs Chocolate Gift Box (22), Truffles",546.0,,https://www.flipkart.com/chocoindianart-very-nice-happy-valentine-s-day-12pcs-chocolate-gift-box-22-truffles/p/itm2e453b6400aa6,flipkart
CHOCOINDIANART Special Happy Valentine's Day 06pcs Delicious Chocolate Gift | Truffles,382.0,,https://www.flipkart.com/chocoindianart-special-happy-valentine-s-day-06pcs-delicious-chocolate-gift-truffles/p/itm2ab8d181c7dc0,flipkart
CHOCOINDIANART Super Merry Christmas 18pcs Delicious Chocolate Gift | Truffles,946.0,,https://www.flipkart.com/chocoindianart-super-merry-christmas-18pcs-delicious-chocolate-gift-truffles/p/itm587429a388e97,flipkart
"CHOCOINDIANART Very Special Happy Valentine's Day, 12pcs Chocolate Gift Box, Truffles",394.0,,https://www.flipkart.com/chocoindianart-very-special-happy-valentine-s-day-12pcs-chocolate-gift-box-truffles/p/itm9fe91cfde8a6a,flipkart
"CHOCOINDIANART Super Happy Birthday, 12pcs Delicious Chocolate Gift Box, Truffles",417.0,,https://www.flipkart.com/chocoindianart-super-happy-birthday-12pcs-delicious-chocolate-gift-box-truffles/p/itmbe0ca618637ab,flipkart
"CHOCOINDIANART Very Very Special, Happy Valentine's Day, 12 Chocolate Gifts Box, Truffles",417.0,,https://www.flipkart.com/chocoindianart-very-special-happy-valentine-s-day-12-chocolate-gifts-box-truffles/p/itm0ae6e2fe35202,flipkart
CHOCOINDIANART Graceful Happy Valentine Day 6pcs Delicious Chocolate Gift || Truffles,400.0,,https://www.flipkart.com/chocoindianart-graceful-happy-valentine-day-6pcs-delicious-chocolate-gift-truffles/p/itmaefdb7c66e75c,flipkart
CHOCOINDIANART Lover Happy Valentine's Day 12pcs Delicious Chocolate Gift Box | Truffles,625.0,,https://www.flipkart.com/chocoindianart-lover-happy-valentine-s-day-12pcs-delicious-chocolate-gift-box-truffles/p/itm2f6e831d9be03,flipkart
CHOCOINDIANART Lovely Happy Valentine's Day 12pcs Chocolate Gift Box (3) | Truffles,806.0,,https://www.flipkart.com/chocoindianart-lovely-happy-valentine-s-day-12pcs-chocolate-gift-box-3-truffles/p/itm0bb7b886a5db0,flipkart
CHOCOINDIANART Very Amazing Happy Birthday-12pcs Delicious Chocolate Gift Box 67 || Truffles,740.0,,https://www.flipkart.com/chocoindianart-very-amazing-happy-birthday-12pcs-delicious-chocolate-gift-box-67-truffles/p/itm44295f069339e,flipkart
"CHOCOINDIANART Decorative Happy Birthday, 12pcs Delicious Chocolate Gift Box, Truffles",417.0,,https://www.flipkart.com/chocoindianart-decorative-happy-birthday-12pcs-delicious-chocolate-gift-box-truffles/p/itmf48797fbb3255,flipkart
CHOCOINDIANART Graceful Happy Valentine's Day 06pcs Delicious Chocolate Gift | Truffles,382.0,,https://www.flipkart.com/chocoindianart-graceful-happy-valentine-s-day-06pcs-delicious-chocolate-gift-truffles/p/itmaec78e285aa79,flipkart
CHOCOINDIANART Happy Valentine's Day-12pcs Chocolate Gift Box (6) || Truffles,745.0,,https://www.flipkart.com/chocoindianart-happy-valentine-s-day-12pcs-chocolate-gift-box-6-truffles/p/itm7e62589fe9e0f,flipkart
