name,price,url,description,ingredients,weight_g
Gift Box of 4 Dragees Jars,2200.0,https://entisi.com/collections/all/products/gift-box-of-4-dragees-jars,Assorted 4 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with finest quality of ingredients sourced from around the world. This gift box is perfect for someone who loves his/her chocolate with the right amount of nuts or fruits! Dietary Preference Depends on the flavour chosen. Please refer to the details mentioned on the chosen product's page *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,Assorted 4 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with finest quality of ingredients sourced from around the world.,480.0
Gift Box of 3 Dragees Jars,1650.0,https://entisi.com/collections/all/products/gift-box-of-3-dragees-jars,Assorted 3 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with the finest quality ingredients sourced from around the world. This gift box is perfect for someone who loves his/her chocolate with the right amount of nuts or fruits! Dietary Preference Depends on the flavour chosen. Please refer to the details mentioned on the chosen product's page *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,Assorted 3 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with the finest quality ingredients sourced from around the world.,360.0
Signature Box of 16 Bonbons,1600.0,https://entisi.com/collections/all/products/signature-box-of-16-bonbons,"Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons. These bonbons are our Signature centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (4x4) - Plain Dark Sugar free, Espresso, Pistachio Berry, Lemon chilli Dietary Preference Note Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons.,160.0
Classic Bonbon Box of 16,1600.0,https://entisi.com/collections/all/products/classic-bonbon-box-of-9,"Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons. These bonbons are our classic centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (4x4) - Blueberry, Exotic caramel, Grand cru, Raspberry Dietary Preference Notes Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons.,160.0
Gift Box of 15 Chocolate Creminos,1600.0,https://entisi.com/collections/all/products/gift-box-of-15-chocolate-creminos,"Soft Centre Filled Chocolates Entisi cremino box is a collection crafted to create a perfect unity between fuits, nuts and chocolate. Our Master Chocolatiers have created five creminos using cocoa from some of the worlds finest cocoa destinations in Africa & South America. From the traditional Cremini, in the original almond-based recipe, to a selection of soft and filled chocolates, ntisi cremino squares express the chocolate heritage in full, together with creative innovation in perfect Italian style. Contains 5 flavours (5 x 3 pcs): Raspberry, Pistachio, Salted Caramel, Orange and Almond Praline Dietary Preference","Contains 5 flavours (5 x 3 pcs): Raspberry, Pistachio, Salted Caramel, Orange and Almond Praline Dietary Preference",195.0
Pralines Box of 16,1600.0,https://entisi.com/collections/all/products/classic-16-praline-box,"Center-Filled Chocolates Our praline box is a collection crafted to create a perfect unity between nuts and chocolate. Our Master Chocolatiers have created four pralines using cocoa from some of the worlds finest cocoa destinations in Africa & South America. Just as we select our chocolate from renowned places in the world, we also source our nuts from the preeminent regions across the globe, grown in the worlds best orchards like hazelnuts from Turkey, almonds from California and pistachios from Iran. Each praline is a creation of fine nuance to deliver to you exceptional quality and the pure joy that you expect from ntisi. Dietary Preference",,160.0
Classic Duo Gift Box,1543.0,https://entisi.com/collections/all/products/classic-duo-gift-box,"A sleek grey gift box with a subtle textured finish, designed with compartments that beautifully showcase the chocolates inside. Elegant and modern, it makes for a sophisticated gift presentation. Classic Duo gift box: Dark chocolate Almond rochers (110 g) Milk Chocolate Hazelnut fingers (125 g) Dietary Preference",,250.0
Milk Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/milk-chocolate-almond-discs,"Milk chocolate discs loaded with roasted almond chunks. Smooth milk chocolate discs brimming with roasted almond chunks, offering a delightful blend of creaminess and crunch Dietary Preference *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .",,250.0
Dark Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/dark-chocolate-almond-discs,"Dark chocolate discs loaded with roasted almond chunks Rich dark chocolate discs generously filled with roasted almond chunks, delivering a perfect crunch in every bite Dietary Preference",,250.0
Milk Chocolate Hazelnut Fingers,1375.0,https://entisi.com/collections/all/products/milk-chocolate-hazelnut-fingers,"Milk chocolate fingers with crunchy hazelnuts. Creamy milk chocolate with whole crunchy hazelnuts shaped into fingers, perfect for a sweet snack Dietary Preference",,250.0
