name,price,weight,url,source
Paan Guava,437.0,,https://adlersden.com/product/paan-guava/,adlers
English Brittles (In Dark Chocolate),399.0,,https://adlersden.com/product/english-brittles-in-dark-chocolate/,adlers
Cashew Cranberry Rochers (In Dark Chocolate),370.0,,https://adlersden.com/product/cashew-cranberry-rochers-in-dark-chocolate/,adlers
Rasmalai Squares (In White Chocolate),437.0,,https://adlersden.com/product/rasmalai-squares-in-white-chocolate/,adlers
Nutella Caramel Cheesecake Dessert,418.0,,https://adlersden.com/product/nutella-caramel-cheesecake-dessert/,adlers
Nutella Cheesecake Dessert,475.0,,https://adlersden.com/product/nutella-cheesecake-dessert/,adlers
Rakhi Cool Sis Gift Box,1618.0,,https://adlersden.com/product/rakhi-cool-sis-gift-box/,adlers
Kids’ Rakhis,76.0,,https://adlersden.com/product/kids-rakhi/,adlers
Eco-Friendly Rakhis,76.0,,https://adlersden.com/product/eco-friendly-rakhis/,adlers
Hazelnut Caramel Cheesecake Dessert,380.0,,https://adlersden.com/product/hazelnut-caramel-cheesecake-dessert/,adlers
Sea-Salt Caramel Cheesecake Dessert,380.0,,https://adlersden.com/product/sea-salt-caramel-cheesecake-dessert/,adlers
Rakhi Dusky Gift Box,1332.0,,https://adlersden.com/product/rakhi-dusky-gift-box/,adlers
Swanky Gift Box for Rakhi,2190.0,,https://adlersden.com/product/swanky-gift-box-for-rakhi/,adlers
Swanky Gift Box for Rakhi With Personalized Photo Frame,2287.0,,https://adlersden.com/product/swanky-gift-box-for-rakhi-with-personalized-photo-frame/,adlers
Rakhi Sassy Bro Gift Box,1618.0,,https://adlersden.com/product/rakhi-sassy-bro-gift-box/,adlers
Mixed Nuts Chaat,380.0,,https://adlersden.com/product/mixed-nuts-chaat/,adlers
Coffee Almond Rochers (In Dark Chocolate),399.0,,https://adlersden.com/product/coffee-almond-rochers-in-dark-chocolate/,adlers
Coffee Almond Rochers (Sugar Free),532.0,,https://adlersden.com/product/coffee-almond-rochers-sugar-free/,adlers
Paan Chocolate Nibbles (In White Chocolate),409.0,,https://adlersden.com/product/paan-chocolate-nibbles-in-white-chocolate/,adlers
Rakhi Special Gift Hamper,999.0,,https://adlersden.com/product/rakhi-special-gift-hamper/,adlers
Irresistible Dessert Gift Hamper For Father’s Day – (Regular & Sugar Free),1551.0,,https://adlersden.com/product/irresistible-dessert-gift-hamper-for-fathers-day-regular-sugar-free/,adlers
Date Chocolates,380.0,,https://adlersden.com/product/date-chocolates/,adlers
Shimmering Jumbo Gift Trunk For Rakhi,3201.0,,https://adlersden.com/product/shimmering-jumbo-gift-trunk-for-rakhi/,adlers
Caramel Truffles,285.0,,https://adlersden.com/product/caramel-truffles/,adlers
