name,price,url,source,rating,reviews,weight_g
"Gourmet Chocolate Box | M&M Chocolates, Premium Gourmet Chocolates & Sweet Treats in Cane Basket | Valentine's, Corporate...",2945.0,https://www.amazon.in/dp/B0CKDWSFQN,amazon,,,
"Ferrero Rocher Premium Chocolates 24 Pieces, 300 g",843.0,https://www.amazon.in/dp/B07G9GDQJD,amazon,4.4,,
"Ferrero Rocher, 16 Pieces, 200 gm",489.0,https://www.amazon.in/dp/B00BYQEIL6,amazon,4.4,,
"Lindt Swiss Luxury Selection Assorted Chocolates, Chocolate Gift Box, Great for gift giving, 5.1 oz Gift Box",1899.0,https://www.amazon.in/dp/B0CRSV697Q,amazon,4.1,,
Dubai Chocodates – Premium Assorted Chocolate Covered Dates with Nuts – Gourmet Gift Box – Made in UAE – 140g,298.0,https://www.amazon.in/dp/B0FV3HYLXK,amazon,3.6,,
CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Perfect Gourmet Chocolate Gift Box ...,284.0,https://www.amazon.in/dp/B0GQ2HNKK1,amazon,5.0,,
"Open Secret Chocolate Celebration Gift Box | 12 Cookies Assortment | Premium Gourmet Cookie Gift Hamper | White Cashew, Ch...",278.0,https://www.amazon.in/dp/B08KF3QKZ6,amazon,4.2,,
Loyka Choco Gourmet Dates - Gifting Hamper - Seedless Chocolate Coated Khajoor - Dry fruit Gift Box - 200gm,299.0,https://www.amazon.in/dp/B0CZRRYF2G,amazon,4.2,,
"THE GIFT STUDIO.COM Indi Gourmet Gift Hamper with Premium Indian-Inspired Snack Box, Mixed Nuts, Chocolates, Cookies, Hone...",2709.0,https://www.amazon.in/dp/B0FFBF3YVL,amazon,5.0,,
"THE GIFT STUDIO.COM Chocolate Bliss Hamper | Lindt, Brittles & More | Gourmet Sweet Treats Gift Box for Chocolate Lovers",2999.0,https://www.amazon.in/dp/B0FLDPFYC7,amazon,4.0,,
Loyka Almond Florentine/Chocolate Almond Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ca...,359.0,https://www.amazon.in/dp/B0C1C9RC4B,amazon,4.2,,
Gourmet Chocolate Gift Hamper - 15 Items Luxurious Assorted Chocolate Gift Box | Premium Festive Chocolate Hamper | Valent...,5890.0,https://www.amazon.in/dp/B0FT3S5PXF,amazon,,,
WINNI - Deluxe Imported 12 Pcs Truffle Chocolate Gift Pack | Belgian Dark Chocolates Gift | Premium Handmade Chocolates Gi...,499.0,https://www.amazon.in/dp/B0G6YG8H8H,amazon,4.4,,
