name,price,url,source,rating,reviews,weight_g,original_currency,original_value,standardized_price_inr,price_inr,cleaned_name,price_per_gram,dedup_hash,popularity_score,popularity_rank
CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Perfect Gourmet Chocolate Gift Box ...,284.0,https://www.amazon.in/dp/B0GQ2HNKK1,amazon,5.0,,,INR,284.0,284.0,284.0,CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Perfect Gourmet Chocolate Gift Box ...,,7986b18221705cf64defe0872bbb9188,17.61,16
"Hugs Ghana Twist Dark Chocolates Jar – Premium Center Filled Dark Chocolate Truffles | Chocolate Gift Pack for Birthday, A...",199.0,https://www.amazon.in/dp/B0FNMNFQ6V,amazon,3.5,,,INR,199.0,199.0,199.0,"Hugs Ghana Twist Dark Chocolates Jar – Premium Center Filled Dark Chocolate Truffles | Chocolate Gift Pack for Birthday, A...",,f9dbc1a5d6da95caa21a4ef1043c78e0,17.59,17
Loyka Almond Brittle Assorted Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ro...,299.0,https://www.amazon.in/dp/B0BF4FXP8L,amazon,4.3,,116.0,INR,299.0,299.0,299.0,Loyka Almond Brittle Assorted Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ro...,2.58,534ea536cc4d471a2be24ca699905842,16.67,18
"SFU E Com Overloaded Crunchy Kitkat Chocolate Box | Chocolate Gift Hamper For Rakhi, Diwali, Christmas, New Year, Birthda...",239.0,https://www.amazon.in/dp/B0CDV9SJ5D,amazon,3.9,,,INR,239.0,239.0,239.0,"SFU E Com Overloaded Crunchy Kitkat Chocolate Box | Chocolate Gift Hamper For Rakhi, Diwali, Christmas, New Year, Birthda...",,c5dbf961c6fed9407f970cc5be55fe68,16.32,19
Loyka Almond Brittle Gold Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Ro...,313.0,https://www.amazon.in/dp/B0B68697VN,amazon,4.4,,116.0,INR,313.0,313.0,313.0,Loyka Almond Brittle Gold Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Ro...,2.7,a3dcde6a631799743cfa32c5b7861691,16.3,20
"Cadbury Studio Signature Pralines Brownie Aux Noix Chocolate Gift Pack, 130 g",352.0,https://www.amazon.in/dp/B0DDCSWYG8,amazon,4.2,,130.0,INR,352.0,352.0,352.0,"Cadbury Studio Signature Pralines Brownie Aux Noix Chocolate Gift Pack, 130 g",2.71,bbc7e0a69c5b7ebd3a59ac65706db36f,15.5,21
Open Secret Chocolate Brownie Gift Box | 5 Mini Gourmet Brownies | Assorted Chocolate Dessert Hamper | Festive Sweets & Ho...,265.0,https://www.amazon.in/dp/B0G1CH4FMM,amazon,4.1,,,INR,265.0,265.0,265.0,Open Secret Chocolate Brownie Gift Box | 5 Mini Gourmet Brownies | Assorted Chocolate Dessert Hamper | Festive Sweets & Ho...,,2ee4d1198caeb7aa715d781304c8db49,15.47,22
"BILZEN Gourmet Assorted (Milk, Dark & White) Chocolates with Dates and Roasted Almonds Gift Box I No Preservative | No Add...",299.0,https://www.amazon.in/dp/B0CKHTDMKW,amazon,4.6,,,INR,299.0,299.0,299.0,"BILZEN Gourmet Assorted (Milk, Dark & White) Chocolates with Dates and Roasted Almonds Gift Box I No Preservative | No Add...",,ad5f86b0caa284b50c27085ca9ff8ebc,15.38,23
"HARIBAS Premium Chocolate Gift Pack, Assorted Chocolates and Cookies Hamper Diwali Gift Pack – 7‑in‑1",299.0,https://www.amazon.in/dp/B0FNJWJJQP,amazon,4.6,,,INR,299.0,299.0,299.0,"HARIBAS Premium Chocolate Gift Pack, Assorted Chocolates and Cookies Hamper Diwali Gift Pack – 7‑in‑1",,062190a4232cf3031ed5620708826eb2,15.38,24
"Cadbury Studio Signature Pralines Gianduja Hazelnut Chocolate Gift Pack, 130 g",356.0,https://www.amazon.in/dp/B0DDCTNK2R,amazon,4.2,,130.0,INR,356.0,356.0,356.0,"Cadbury Studio Signature Pralines Gianduja Hazelnut Chocolate Gift Pack, 130 g",2.74,cf8f01cb8020bf5836f524d4ed83c276,15.33,25
"Open Secret Chocolate Celebration Gift Box | 12 Cookies Assortment | Premium Gourmet Cookie Gift Hamper | White Cashew, Ch...",278.0,https://www.amazon.in/dp/B08KF3QKZ6,amazon,4.2,,,INR,278.0,278.0,278.0,"Open Secret Chocolate Celebration Gift Box | 12 Cookies Assortment | Premium Gourmet Cookie Gift Hamper | White Cashew, Ch...",,5e318b61c98107fa84638eeca2827999,15.11,26
Chokola Chocolate Dessert Squares 90g – Chocolate Sponge Cake Enrobed in Dark Chocolate | Gourmet Chocolate Gift Hamper | ...,272.0,https://www.amazon.in/dp/B08D6V3W3F,amazon,4.5,,90.0,INR,272.0,272.0,272.0,Chokola Chocolate Dessert Squares 90g – Chocolate Sponge Cake Enrobed in Dark Chocolate | Gourmet Chocolate Gift Hamper | ...,3.02,85d480e5666a35e3eaae7894ba66bbc2,14.9,27
Pure Temptation Chocoblast Celebration Gift Box | 8 Chocolate-Filled Waffle Cones | Premium Chocolate Box for Gift | Choco...,297.0,https://www.amazon.in/dp/B0FGQK44WC,amazon,4.2,,,INR,297.0,297.0,297.0,Pure Temptation Chocoblast Celebration Gift Box | 8 Chocolate-Filled Waffle Cones | Premium Chocolate Box for Gift | Choco...,,6cf60c64ea30963d8bf0bd91d25b0d77,14.14,28
BILZEN Gourmet Dark Chocolates with Dates and Roasted Almonds Gift Box | No Preservative I No Added Sugar |Healthy Snacks...,299.0,https://www.amazon.in/dp/B0CKFHLJ6Y,amazon,4.0,,,INR,299.0,299.0,299.0,BILZEN Gourmet Dark Chocolates with Dates and Roasted Almonds Gift Box | No Preservative I No Added Sugar |Healthy Snacks...,,cef5a56dca65689af2ed0ea9b3d341e3,13.38,29
"999 Chocolat 60% & 80% Dark Chocolate (Pack of 2 (140g))| Organic, Handmade Vegan Couverture Bar with Coconut Sugar | No R...",570.0,https://www.amazon.in/dp/B0DNSM91LK,amazon,5.0,,140.0,INR,570.0,570.0,570.0,"999 Chocolat 60% & 80% Dark Chocolate (Pack of 2 (140g))| Organic, Handmade Vegan Couverture Bar with Coconut Sugar | No R...",4.07,3735ce1098836f85d04b872c41cbdd4b,12.29,30
Hyperfoods® Valentines Day Gifts For Girlfriend Chocolates Gift Hamper Chocolate Pack Sapphire Hazelfills 16 Pcs Chocolate...,299.0,https://www.amazon.in/dp/B0D9JT9PLC,amazon,3.6,,,INR,299.0,299.0,299.0,Hyperfoods® Valentines Day Gifts For Girlfriend Chocolates Gift Hamper Chocolate Pack Sapphire Hazelfills 16 Pcs Chocolate...,,08b529c1549226d56bb7dfff83cf1893,12.04,31
Loyka Almond Florentine/Chocolate Almond Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ca...,359.0,https://www.amazon.in/dp/B0C1C9RC4B,amazon,4.2,,,INR,359.0,359.0,359.0,Loyka Almond Florentine/Chocolate Almond Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ca...,,b694e2243b138d1a6828aca6bf7e9a00,11.7,32
"999 Chocolat 70% Premium Dark Chocolate Bar (Pack of 1 (70g)) Organic Dark Chocolate No Refined Sugar, No Preservative, No...",280.0,https://www.amazon.in/dp/B0CNKH5M66,amazon,4.6,,70.0,INR,280.0,280.0,280.0,"999 Chocolat 70% Premium Dark Chocolate Bar (Pack of 1 (70g)) Organic Dark Chocolate No Refined Sugar, No Preservative, No...",4.0,0aba58c320025b147e266bff39959598,11.5,33
"999 Chocolat 70% Dark Chocolate Bar – (Pack of 3 (210g)) Organic Cocoa Dark Chocolate, Pure Couverture Chocolate, No Refin...",840.0,https://www.amazon.in/dp/B0FB9G74YG,amazon,4.6,,210.0,INR,840.0,840.0,840.0,"999 Chocolat 70% Dark Chocolate Bar – (Pack of 3 (210g)) Organic Cocoa Dark Chocolate, Pure Couverture Chocolate, No Refin...",4.0,838166ae3262ed3cc99b38a307238eb1,11.5,34
"CookieMan Premium Center Filled Truffle Chocolates Gift Pack, Assorted Box of 12 Pcs – Hazelnut, Strawberry, English Toffe...",359.0,https://www.amazon.in/dp/B09J912FNG,amazon,3.9,,,INR,359.0,359.0,359.0,"CookieMan Premium Center Filled Truffle Chocolates Gift Pack, Assorted Box of 12 Pcs – Hazelnut, Strawberry, English Toffe...",,4d8d9a532ab654fe0825241b1e5a1acd,10.86,35
"Barquillo Assorted Premium Chocolate Gift Pack Box - 9 Pcs (180 gm) | Roasted Almonds, Hazelnut and Pistachio imported | D...",649.0,https://www.amazon.in/dp/B0CKTL8S18,amazon,3.9,,180.0,INR,649.0,649.0,649.0,"Barquillo Assorted Premium Chocolate Gift Pack Box - 9 Pcs (180 gm) | Roasted Almonds, Hazelnut and Pistachio imported | D...",3.61,01de8e814a02a60466740e011cba21d9,10.8,36
Loyka Hazelnut Florentine Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Caramalised Hazel...,399.0,https://www.amazon.in/dp/B0C1CDWSJR,amazon,4.3,,,INR,399.0,399.0,399.0,Loyka Hazelnut Florentine Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Caramalised Hazel...,,1f8edccc7928b0d003e6cb4c14455922,10.78,37
EROTE Premium Fantasy Dark Chocolate | For Men And Women | Him Her | Gourmet Mini Bars for Gifting & Special Moments | 6 C...,299.0,https://www.amazon.in/dp/B0G6173NX4,amazon,3.2,,,INR,299.0,299.0,299.0,EROTE Premium Fantasy Dark Chocolate | For Men And Women | Him Her | Gourmet Mini Bars for Gifting & Moments | 6 C...,,ff31e59e0b7d5e8fa7bec0c832a2f354,10.7,38
Astonished Retail Chocolate Gift Hamper with Multipurpose Basket|Chocolate Gift Collection|Chocolate Gift To Gift Your Lov...,399.0,https://www.amazon.in/dp/B08L1RRM2V,amazon,4.2,,,INR,399.0,399.0,399.0,Astonished Retail Chocolate Gift Hamper with Multipurpose Basket|Chocolate Gift Collection|Chocolate Gift To Gift Your Lov...,,3bebe6e1f6c36226303611d3b635ac1f,10.53,39
LOYKA Almond Brittle Gold Choco Box 14 Pcs (Pack of 1) | Premium Chocolate Gift Hamper|Choco & Nut Dryfruit Delicacy|Roast...,445.0,https://www.amazon.in/dp/B08P4BVTFK,amazon,4.6,,,INR,445.0,445.0,445.0,LOYKA Almond Brittle Gold Choco Box 14 Pcs (Pack of 1) | Premium Chocolate Gift Hamper|Choco & Nut Dryfruit Delicacy|Roast...,,0acfa7aa7ca3aca42aafb7c5a438d895,10.34,40
