name,price,rating,reviews,url,source
"Bilzen Assorted Gourmet Dates Kunafa Chocolates Gift Box | 9 Piece, Pack of 1 (Assorted Chocolate)",399.0,,,https://www.amazon.in/dp/B0GNHQGNHS,amazon
"SMOOR Assorted Chocolate Thins, Premium Gift Pack of 25, Gourmet Selection | Perfect for Wedding, Birthday, Anniversary, G...",601.0,4.2,,https://www.amazon.in/dp/B0FMY4GLYG,amazon
"Lindt Swiss Luxury Selection Assorted Chocolates, Chocolate Gift Box, Great for gift giving, 193g oz Gift Box",2299.0,4.3,,https://www.amazon.in/dp/B0CVV2W5FM,amazon
"THE GIFT STUDIO.COM Midnight Stash Premium Snack Gift Hamper | Smoked Almonds, Roasted & Salted Cashews, Cashew Brittle, C...",989.0,4.0,,https://www.amazon.in/dp/B0FC32QCMK,amazon
Chokola Almond Praline Dessert Squares 90g – Almond Sponge Cake Enrobed in Dark Chocolate | Gourmet Chocolate Hamper | Pre...,327.0,,,https://www.amazon.in/dp/B0GTMM1LTK,amazon
Lindt Swiss Thins Dark Chocolate 125g By COUGAR – Extra Fine Thin Squares with 52% Cocoa – Premium Swiss Dark Chocolate Bo...,1498.0,,,https://www.amazon.in/dp/B0GQGNYYXP,amazon
WINNI - Premium 24 Pcs Truffle Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate Gift B...,899.0,4.2,,https://www.amazon.in/dp/B0GNM3B5YZ,amazon
Pure Temptation Chocoblast Choco-Filled Waffle Cones (20 Pcs) | Individually Wrapped Gourmet Chocolate Cone Bites | Assort...,449.0,3.7,,https://www.amazon.in/dp/B0BRSVV7JW,amazon
4700BC Nutty Tuxedo Chocolate Popcorn | Gifting Tin | 150g,186.0,4.1,,https://www.amazon.in/dp/B074DXB9SB,amazon
"THE GIFT STUDIO.COM The Valentine Toast Hamper – Love Mail Bento Box with Unvined Shiraz, Lindt Chocolates, Candle & Gourm...",2999.0,,,https://www.amazon.in/dp/B0GGBZMVF4,amazon
TABS Dark Chocolate For Men & Women I Chocolate Gift Box For Husband & wife I Valentine Gift Set For Boyfriend & Girlfrien...,615.0,3.4,,https://www.amazon.in/dp/B0DYF554X6,amazon
Lindt Swiss Thins Orange Milk Chocolate 125g By COUGAR – Extra Fine Thin Squares with Smooth Milk Chocolate & Real Orange ...,1449.0,,,https://www.amazon.in/dp/B0GQGJJMHN,amazon
CHOKOTABS+ Tabs Chocolate for Men and Women | Premium tabs Dark Chocolate for Couple | Best Gourmet Chocolate Gift Box for...,299.0,,,https://www.amazon.in/dp/B0GR1S18L8,amazon
BILZEN Gourmet Dark Chocolates with Dates and Roasted Almonds Gift Box | No Preservative I No Added Sugar |Healthy Snacks...,299.0,4.0,,https://www.amazon.in/dp/B0CKFHLJ6Y,amazon
EROTE Premium Fantasy Dark Chocolate | For Men And Women | Him Her | Gourmet Mini Bars for Gifting & Special Moments | 6 C...,299.0,3.2,,https://www.amazon.in/dp/B0G6173NX4,amazon
Open Secret Chocolate Brownie Gift Box | 5 Mini Gourmet Brownies | Assorted Chocolate Dessert Hamper | Festive Sweets & Ho...,265.0,4.1,,https://www.amazon.in/dp/B0G1CH4FMM,amazon
"Gourmet Exotic Velvet Chocolate Gift Box (12 Items) | Luxury Assorted Chocolate Hamper for Birthday, Anniversary, Holi & V...",6106.0,,,https://www.amazon.in/dp/B0FTSYYQ4R,amazon
CAFORA Gourmet center filling Chocolate Box Assorted Cocoa Treats No Added Preservatives Or Essence Handcrafted Artisan Bo...,349.0,,,https://www.amazon.in/dp/B0GVNV9MCX,amazon
Chokola Chocolate Dessert Squares 90g – Chocolate Sponge Cake Enrobed in Dark Chocolate | Gourmet Chocolate Gift Hamper | ...,272.0,4.5,,https://www.amazon.in/dp/B08D6V3W3F,amazon
Chokola Signature Dessert Square Chocolate Hamper – Premium Sponge Cake Enrobed in Dark Chocolate (Brownie) with Assorted ...,600.0,4.6,,https://www.amazon.in/dp/B0FQTW7YTH,amazon
CAFORA Gourmet Chocolate Box Assorted Cocoa Treats No Added Preservatives Or Essence Handcrafted Artisan Chocolate Collect...,699.0,,,https://www.amazon.in/dp/B0GVNWTJRZ,amazon
